Tweet_id,User_name,Screen_name,Tweet_text,Language,Hashtags,Created_at,Search_keyword
1861400289682551110,Oracle of Wall St,OracleofWallSt,Eli Lilly $LLY and Novo Nordisk $NVO are both up in orensrket on the Biden proposal for Medicare and Medicaid to pay for anti-obesity drugs. We own both $LLY and $NVO. https://t.co/BTkHQYIHgZ,en,[],2024-11-26 13:23:06+00:00,Novo Nordisk
1860741090011144656,RAW EGG NATIONALIST,Babygravy9,"If Big Pharma gets its way, &gt;50% of all US adults will be on Ozempic or a competitor drug. 136.8 million people. This is why Novo Nordisk will be the biggest company in the world soon. It's already the biggest in Europe, and worth more than the economy of its native Denmark. https://t.co/l2A3VbPyKY",en,[],2024-11-24 17:43:41+00:00,Novo Nordisk
1860308065444090068,Aktiesvallet,aktietokig,@Quality_stocksA what is your thoughts of Novo nordisk at really long term? Aa good buy at this level ?,en,[],2024-11-23 13:03:00+00:00,Novo Nordisk
1498671445676863494,Eric Feigl-Ding,DrEricDing,"SCOOP—Russian attacks cut off access to the main warehouse for Novo Nordisk drugs in Ukraine, a source says. All of NN’s insulin in 🇺🇦 is stored there. Unless warehouse access restored, pharmacies only have a couple days of #insulin left. ➡️This is also a crime against humanity. https://t.co/GsFBteDFfu",en,['insulin'],2022-03-01 14:48:11+00:00,Novo Nordisk
1858494751210614993,Evan,StockMKTNewz,Novo Nordisk $NVO is launching its weight loss drug Wegovy in China 🇨🇳 this week - Bloomberg https://t.co/XrSiOyF4VF,en,[],2024-11-18 12:57:32+00:00,Novo Nordisk
1858177018879156477,"Pradheep J. Shanker, M.D.",neoavatara,"I have mixed feelings on Ozempic, but RFK repeatedly lies about the drug. Lets at least deal with actual facts.

(Like he claims Denmark, home to Novo Nordisk, doesn't use the drug. That is a lie. They use both Ozempic and Wegovy, a lot).

https://t.co/3xQS1Ztsru",en,[],2024-11-17 15:54:59+00:00,Novo Nordisk
1858960132304236753,Charlie Bilello,charliebilello,"Returns since election...
Dogecoin: +141%
MicroStrategy: +87%
Coinbase: +67%
Tesla: +36%
Bitcoin: +35%
Banks: +8.7%
US Dollar: +2.9%
Small Caps: +2.5%
S&amp;P 500: +2.2%
---
Long-Term Treasuries: -2.1%
International Stocks: -3.1%
Oil: -3.4%
Gold: -4.1%
China: -6.8%
Novo Nordisk: https://t.co/6vrlwv9BdB",en,[],2024-11-19 19:46:48+00:00,Novo Nordisk
1859445819667030049,See It Market,seeitmarket,"NEW Article:  “Are Dietary Drug Stocks Eli Lilly and Novo Nordisk Ready To Rise Again?”  —&gt; https://t.co/pQcsS0t3kG

by @marketminute 
$SPY $XLV $IBB $NVO $LLY https://t.co/2lZ2OdUxBI",en,[],2024-11-21 03:56:44+00:00,Novo Nordisk
1858922434986209457,Ars Technica,arstechnica,Novo Nordisk sells hit weight-loss drug in China—at fraction of US price https://t.co/JCtzKcXbnB,en,[],2024-11-19 17:17:00+00:00,Novo Nordisk
1858494114074894587,Mario Nawfal,MarioNawfal,"🚨🇨🇳NOVO NORDISK LAUNCHES WEGOVY IN CHINA AT MUCH LOWER PRICES THAN IN THE US

Initial prescriptions will roll out in Shanghai this week, marking a key milestone for the company’s expansion in Asia.

The move positions Novo Nordisk to tap into China's rising demand for obesity https://t.co/VyLxcBuT7K",en,[],2024-11-18 12:55:00+00:00,Novo Nordisk
