Tweet_id,User_name,Screen_name,Tweet_text,Language,Hashtags,Created_at,Search_keyword
1860215427437330786,Aaron Li,boolusilan,$tsla Cybertruck got a new version of FSD. When will FSD v13 be released? I'm not in a hurry—good things are bound to happen. This feeling of waiting is wonderful. https://t.co/nwh6SWVxHf,en,[],2024-11-23 06:54:53+00:00,Cybertruck FSD
1840951367323582755,InvestAnswers,invest_answers,Just got home and Cybertruck got hit with the news: FSD is ready to download. Look fwd to trying it manana🚗💨 #Tesla #Cybertruck #FSD https://t.co/Be7SQlqlTh,en,"['Tesla', 'Cybertruck', 'FSD']",2024-10-01 03:06:23+00:00,Cybertruck FSD
1861952994788393213,Rod Cunha,647hotrod,My truck is downloading stuff!! #Cybertruck #FSD Let’s go! https://t.co/fKCX75k5wA,en,"['Cybertruck', 'FSD']",2024-11-28 01:59:22+00:00,Cybertruck FSD
1861173703301537857,Zack,BLKMDL3,"What every drive across the country has looked like so far. Only 2 disengagements after 2,300 miles driven (1 per thousand mile average)

FSD has done 99.7% of the driving so far.

End to End highway is amazing on my Cybertruck with FSD v12.5.5.3 @Tesla_AI @aelluswamy @elonmusk https://t.co/y9366C6eQg",en,[],2024-11-25 22:22:44+00:00,Cybertruck FSD
1861544324879786323,Chad Moran,ChadMoran,"FSD on Cybertruck making it's own path down the middle of the highway.

@Jordan_Schiefer https://t.co/qVF8KLDyWs",en,[],2024-11-26 22:55:27+00:00,Cybertruck FSD
1861193466694209674,Daniel Sanchez G.,BtcTeslaDaniel,"Hey Tesla Crew! 🚘💨

Guess what? From December 20th to 28th, 2024, I'm hitting Phoenix and San Diego! 🤩📅

As someone who's been with Tesla since the Model S days (since 2016), I'm itching to get behind the wheel of a Cybertruck and to experience FSD and ASS in the wild. Can",en,['TeslaDreamComeTrue'],2024-11-25 23:41:16+00:00,Cybertruck FSD
1861210191384998397,Andy ze German,AndyZeGerman,"Well, here it is. The first 2:23 minutes of my first FSD drive with the Cybertruck on v12.5.5.3. 
See for yourself. I will post the entire drive tomorrow. 
#Cybertruck #FSD https://t.co/aGzw1TH19W",en,"['Cybertruck', 'FSD']",2024-11-26 00:47:43+00:00,Cybertruck FSD
1840950186316591273,Jeremy Judkins,jeremyjudkins_,"‼️‼️‼️‼️‼️‼️‼️‼️‼️‼️‼️‼️

One hour before midnight. 

Tesla actually did it. 

They fulfilled their promise to me that the Cybertruck would get FSD by end of September.

‼️‼️‼️‼️‼️‼️‼️‼️‼️‼️‼️‼️ https://t.co/mpJyW7s1LJ",en,[],2024-10-01 03:01:42+00:00,Cybertruck FSD
1840567137112670308,Tsla Chan,Tslachan,"$TSLA
BREAKING : FSD has officially been launched on Tesla Cybertruck! 💥

Tesla team released it within September as promised! We would like to thank them for their incredible work! https://t.co/IBfKv8c367",en,[],2024-09-30 01:39:36+00:00,Cybertruck FSD
1840927919327101167,Dirty Tesla,DirtyTesLa,"Thankful FSD in this traffic! Stop and go worked perfectly today. 

Not only is the Cybertruck display huge, it's high refresh rate, so the FSD graphics look amazing. https://t.co/jhz2ITlZm3",en,[],2024-10-01 01:33:13+00:00,Cybertruck FSD
